Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Erosion state,Encoded erosion state,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Porosity_here,Porosity_front,Porosity_diff,Norm Initial X,Norm Initial Y,Norm Initial Z,Threshold Z,Norm2 Initial Z,Norm Connectivity
3,0.0901,0.0885,0.2600802,3,Not eroded,0,1,0,0,1,1,0.3476877,0.3901556,-0.0424679,0.133530062707488,0.1229689807976366,0.7299381969421772,1,0.15981145799140467,0.42857142857142855
9,0.275,0.222,0.3040631,2,Not eroded,0,1,0,1,1,1,0.3829345,0.99,-0.6070655,0.815566211729989,0.6159527326440176,0.8864056467435569,1,0.6465969161047722,0.2857142857142857
10,0.164,0.136,0.3033449,0,ERODED,1,1,1,1,1,1,0.3623308,0.99,-0.6276692,0.4061232017705644,0.2983751846381093,0.883850678279737,1,0.6386481606562454,0.0
16,0.256,0.14,0.3175388,0,ERODED,1,1,1,1,1,1,0.2960408,0.99,-0.6939592,0.7454813721873847,0.3131462333825702,0.934344923446286,1,0.7957406696521356,0.0
18,0.311,0.179,0.2879483,0,Not eroded,0,1,1,1,1,1,0.3647194,0.99,-0.6252806,0.9483585392843968,0.4571639586410634,0.829077874812664,1,0.4682446405521079,0.0
19,0.107,0.129,0.3186828,0,ERODED,1,1,1,1,1,1,0.3415885,0.99,-0.6484115,0.19586868314275171,0.27252584933530277,0.938414658788266,1,0.8084020122212178,0.0
20,0.136,0.266,0.2816828,5,Not eroded,0,0,0,0,0,1,0.2528316,0.99,-0.7371684,0.30284028033935817,0.7784342688330871,0.8067886031472999,1,0.3989005480113864,0.7142857142857143
30,0.134,0.15,0.2760305,0,Not eroded,0,1,1,1,1,1,0.3415885,0.99,-0.6484115,0.29546292880855773,0.35007385524372225,0.7866807665446125,1,0.336343112169407,0.0
33,0.237,0.31,0.3081049,0,ERODED,1,1,1,1,1,1,0.3679927,0.99,-0.6220073,0.6753965326447805,0.9409158050221565,0.9007841924648992,1,0.6913299706464834,0.0
35,0.173,0.0565,0.2759666,0,Not eroded,0,1,1,1,1,1,0.3492331,0.99,-0.6407669,0.4393212836591663,0.004800590841949787,0.7864534447890595,1,0.33563589207310934,0.0
