Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Unnamed: 8,Z location Half,Unnamed: 10,Z location 0.22,Unnamed: 12,Z location 0.23,Unnamed: 14,Z location 0.24,Unnamed: 16,Z location 0.25,Force X,Force Y,Force Z,Sum of contact force (vector),Sum force by connectivity,3 connectivity,Unnamed: 24,4Connectivity,5Connectivity,2Connectivity,1Connectivity,0Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
6,0.258,0.287,0.217,5,6,Not eroded,0,0,1,0,0,0,0,0,0,0,0,1.37e-08,1.42e-06,-2.94e-07,1.45e-06,2.9e-07,0,0.00259,0,1,0,0,0,0.75139146567718,0.8590504451038574,0.575,1
7,0.162,0.0561,0.255,3,7,Not eroded,0,0,1,0,1,0,1,0,1,0,1,1.09e-07,-8.72e-07,-1.01e-06,1.34e-06,4.45e-07,1,0.0024,1,1,0,0,0,0.39517625231910947,0.002596439169139463,0.7107142857142856,1
9,0.139,0.222,0.236,3,9,Not eroded,0,0,1,0,1,0,1,0,0,0,0,3.5e-07,7.5e-07,4.34e-07,9.35e-07,3.12e-07,1,0.00167,1,1,0,0,0,0.3098330241187385,0.6179525222551928,0.6428571428571428,1
13,0.136,0.0844,0.328,0,13,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.29870129870129875,0.10756676557863504,0.9714285714285714,1
15,0.131,0.0907,0.248,3,15,Not eroded,0,0,1,0,1,0,1,0,1,0,0,1.65e-07,2.63e-07,-1.75e-07,3.57e-07,1.19e-07,1,0.000639,1,1,0,0,0,0.28014842300556586,0.13093471810089022,0.6857142857142856,1
16,0.0905,0.256,0.237,0,16,Not eroded,0,0,1,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.12987012987012986,0.7440652818991098,0.6464285714285714,1
23,0.286,0.0892,0.309,0,23,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.8552875695732838,0.12537091988130564,0.9035714285714285,1
25,0.159,0.171,0.243,4,25,Not eroded,0,0,1,0,1,0,1,0,1,0,0,-2e-08,6.53e-07,1.08e-06,1.26e-06,3.15e-07,0,0.00225,1,1,0,0,0,0.3840445269016698,0.42878338278931755,0.6678571428571428,1
29,0.2,0.164,0.332,0,29,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.536178107606679,0.40281899109792285,0.9857142857142857,1
32,0.157,0.179,0.223,2,32,Not eroded,0,0,1,0,1,0,0,0,0,0,0,1.75e-07,1.89e-07,2.33e-06,2.34e-06,1.17e-06,1,0.00419,1,1,1,0,0,0.37662337662337664,0.4584569732937685,0.5964285714285714,1
