Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Unnamed: 8,Z location Half,Unnamed: 10,Z location 0.22,Unnamed: 12,Z location 0.23,Unnamed: 14,Z location 0.24,Unnamed: 16,Z location 0.25,Force X,Force Y,Force Z,Sum of contact force (vector),Sum force by connectivity,3 connectivity,Unnamed: 24,4Connectivity,5Connectivity,2Connectivity,1 connectivity,0Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
7,0.162,0.0561,0.255,3,7,Not eroded,0,0,1,0,1,0,1,0,1,0,1,1.09E-07,-8.72E-07,-1.01E-06,1.34E-06,4.45E-07,1,0.0024,1,1,0,0,0,0.395176252,0.002596439,0.710714286,1
9,0.139,0.222,0.236,3,9,Not eroded,0,0,1,0,1,0,1,0,0,0,0,3.50E-07,7.50E-07,4.34E-07,9.35E-07,3.12E-07,1,0.00167,1,1,0,0,0,0.309833024,0.617952522,0.642857143,1
13,0.136,0.0844,0.328,0,13,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.298701299,0.107566766,0.971428571,1
15,0.131,0.0907,0.248,3,15,Not eroded,0,0,1,0,1,0,1,0,1,0,0,1.65E-07,2.63E-07,-1.75E-07,3.57E-07,1.19E-07,1,0.000639,1,1,0,0,0,0.280148423,0.130934718,0.685714286,1
16,0.0905,0.256,0.237,0,16,Not eroded,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.12987013,0.744065282,0.646428571,1
23,0.286,0.0892,0.309,0,23,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.85528757,0.12537092,0.903571429,1
25,0.159,0.171,0.243,4,25,Not eroded,0,0,1,0,1,0,1,0,1,0,0,-2.00E-08,6.53E-07,1.08E-06,1.26E-06,3.15E-07,0,0.00225,1,1,0,0,0,0.384044527,0.428783383,0.667857143,1
29,0.2,0.164,0.332,0,29,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.536178108,0.402818991,0.985714286,1
39,0.229,0.106,0.278,0,39,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.643784787,0.18768546,0.792857143,1
41,0.199,0.304,0.272,4,41,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-5.16E-08,1.57E-07,7.16E-07,7.35E-07,1.84E-07,0,0.00131,1,1,0,0,0,0.532467532,0.922106825,0.771428571,1
45,0.109,0.067,0.249,3,45,Not eroded,0,0,1,0,1,0,1,0,1,0,0,2.96E-07,6.48E-08,-1.92E-08,3.03E-07,1.01E-07,1,0.000542,1,1,0,0,0,0.19851577,0.043026706,0.689285714,1
46,0.25,0.283,0.248,0,46,Not eroded,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.721706865,0.84421365,0.685714286,1
47,0.0986,0.199,0.325,0,47,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.159925788,0.53264095,0.960714286,1
49,0.14,0.235,0.29,3,49,Not eroded,0,0,1,0,1,0,1,0,1,0,1,4.86E-07,2.85E-07,4.68E-07,7.32E-07,2.44E-07,1,0.00131,1,1,0,0,0,0.313543599,0.666172107,0.835714286,1
56,0.278,0.251,0.285,3,56,Not eroded,0,0,1,0,1,0,1,0,1,0,1,1.83E-06,3.49E-05,-1.47E-06,3.50E-05,1.17E-05,1,0.0626,1,1,0,0,0,0.825602968,0.725519288,0.817857143,1
60,0.133,0.29,0.263,0,60,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.287569573,0.870178042,0.739285714,1
65,0.324,0.0862,0.259,0,65,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.996289425,0.114243323,0.725,1
