Before erosion ID,Initial X,Initial Y,Initial Z,Norm Initial X,Norm Initial Y,Norm Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Z location half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 Connectivity,4 Connectivity,5 Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
2,0.0574,0.0669,0.3180699,0.00483,0.0427,0.939,0,2,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.004834511,0.042655786,0.938779933,1
3,0.122,0.0732,0.2571037,0.245,0.066,0.721,5,3,Not eroded,0,1,1,1,1,1,0,0,0,0,1,0.245072518,0.066023739,0.720919986,1
10,0.172,0.147,0.2819585,0.431,0.34,0.81,0,10,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.431015247,0.339762611,0.809737485,1
16,0.278,0.137,0.29518,0.825,0.303,0.857,0,16,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.825213834,0.302670623,0.856983915,1
18,0.318,0.2,0.2757708,0.974,0.536,0.788,5,18,Not eroded,0,1,1,1,1,1,0,0,0,0,1,0.973968018,0.536350148,0.78762602,1
19,0.103,0.138,0.3237126,0.174,0.306,0.959,0,19,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.17441428,0.306379822,0.958943865,1
20,0.123,0.265,0.3052567,0.249,0.777,0.893,0,20,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.248791372,0.777448071,0.892992545,1
30,0.125,0.145,0.2675918,0.256,0.332,0.758,0,30,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.256229081,0.332344214,0.758398735,1
34,0.126,0.153,0.2269813,0.26,0.362,0.613,4,34,Not eroded,0,1,1,0,0,0,0,0,0,1,1,0.259947936,0.362017804,0.613278957,1
35,0.183,0.0562,0.2918192,0.472,0.00297,0.845,0,35,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.471922648,0.002967359,0.844974249,1
36,0.175,0.142,0.2729344,0.442,0.321,0.777,0,36,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.442171811,0.321216617,0.777490274,1
37,0.215,0.186,0.2503775,0.591,0.484,0.697,3,37,Not eroded,0,1,1,1,1,1,1,0,0,1,1,0.590925995,0.484421365,0.696884216,1
40,0.123,0.136,0.2584334,0.249,0.299,0.726,6,40,Not eroded,0,1,1,1,1,1,0,0,0,0,0,0.248791372,0.298961424,0.725671608,1
41,0.135,0.155,0.3125369,0.293,0.369,0.919,0,41,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.293417627,0.369436202,0.919008009,1
43,0.289,0.295,0.2323914,0.866,0.889,0.633,5,43,Not eroded,0,1,1,1,0,0,0,0,0,0,1,0.866121235,0.888724036,0.632611704,1
49,0.177,0.148,0.2365456,0.45,0.343,0.647,3,49,Not eroded,0,1,1,1,0,0,1,0,0,1,1,0.44960952,0.34347181,0.647456549,1
53,0.0616,0.064,0.2409885,0.0205,0.0319,0.663,5,53,Not eroded,0,1,1,1,1,0,0,0,0,0,1,0.0204537,0.03189911,0.66333305,1
61,0.125,0.129,0.3095942,0.256,0.273,0.908,0,61,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.256229081,0.272997033,0.908492404,1
62,0.18,0.128,0.2775718,0.461,0.269,0.794,0,62,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.460766084,0.269287834,0.794061812,1
64,0.156,0.316,0.2468384,0.372,0.967,0.684,0,64,ERODED,1,1,1,1,1,0,1,1,1,1,1,0.371513574,0.966617211,0.684237402,1
68,0.0997,0.234,0.225604,0.162,0.662,0.608,5,68,Not eroded,0,1,1,0,0,0,0,0,0,0,1,0.16214206,0.662462908,0.608357238,1
70,0.106,0.166,0.2550653,0.186,0.41,0.714,4,70,Not eroded,0,1,1,1,1,1,0,0,0,1,1,0.185570844,0.410237389,0.713635856,1
72,0.324,0.0681,0.2718823,0.996,0.0471,0.774,0,72,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.996281145,0.047106825,0.773730642,1
73,0.131,0.174,0.2523884,0.279,0.44,0.704,4,73,Not eroded,0,1,1,1,1,1,0,0,0,1,1,0.278542209,0.439910979,0.704070075,1
75,0.252,0.288,0.2324878,0.729,0.863,0.633,0,75,Not eroded,0,1,1,1,0,0,1,1,1,1,1,0.728523615,0.862759644,0.632956185,1
84,0.306,0.179,0.2481434,0.929,0.458,0.689,0,84,Not eroded,0,1,1,1,1,0,1,1,1,1,1,0.929341763,0.458456973,0.688900761,1
85,0.225,0.238,0.2668286,0.628,0.677,0.756,0,85,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.628114541,0.677299703,0.755671474,1
90,0.0565,0.254,0.2577799,0.00149,0.737,0.723,0,90,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.001487542,0.736646884,0.723336356,1
92,0.102,0.317,0.2906882,0.171,0.97,0.841,0,92,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.170695426,0.970326409,0.840932672,1
100,0.258,0.23,0.2456985,0.751,0.648,0.68,5,100,Not eroded,0,1,1,1,1,0,0,0,0,0,1,0.750836742,0.647626113,0.680164022,1
111,0.253,0.227,0.2535425,0.732,0.636,0.708,4,111,Not eroded,0,1,1,1,1,1,0,0,0,1,1,0.732242469,0.636498516,0.708194199,1
