Before erosion ID,Initial X,Initial Y,Initial Z,Norm Initial X,Norm Initial Y,Norm Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Z location Half,Norm Z location 0.5714,Norm Z location 0.60714,Norm Z location 0.6429,Norm Z location 0.6786,Norm Z location 0.7143,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
1,0.102,0.205,0.248,0.173,0.554,0.686,0,1,Not eroded,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0.17349218168279967,0.5540691192865105,0.6860506600071352,1
2,0.143,0.0634,0.238,0.326,0.0279,0.65,6,2,Not eroded,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0.3261355174981384,0.027870680044593088,0.6503745986443097,1
3,0.176,0.24,0.255,0.449,0.684,0.711,4,3,Not eroded,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0.4489947877885331,0.684132292827945,0.7110239029611132,1
4,0.168,0.286,0.33,0.419,0.855,0.979,0,4,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.419210722263589,0.8550724637681159,0.9785943631823046,1
8,0.218,0.172,0.229,0.605,0.431,0.618,3,8,Not eroded,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0.6053611317944899,0.43143812709030094,0.6182661434177668,1
12,0.118,0.271,0.233,0.233,0.799,0.633,3,12,Not eroded,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0.23306031273268796,0.7993311036789298,0.6325365679628969,1
15,0.291,0.166,0.262,0.877,0.409,0.736,3,15,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.8771407297096052,0.40914158305462656,0.735997145915091,1
16,0.091,0.324,0.295,0.133,0.996,0.854,0,16,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1325390915860015,0.9962839093273876,0.8537281484124153,1
18,0.139,0.237,0.289,0.311,0.673,0.832,4,18,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0.31124348473566643,0.6729840208101077,0.8323225115947199,1
23,0.197,0.23,0.291,0.527,0.647,0.839,3,23,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.5271779597915115,0.6469713861018209,0.839457723867285,1
24,0.166,0.0909,0.324,0.412,0.13,0.957,0,24,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4117647058823529,0.1300631735414344,0.9571887263646093,1
29,0.153,0.125,0.289,0.363,0.257,0.832,4,29,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0.3633655994043187,0.25678186547751763,0.8323225115947199,1
35,0.283,0.324,0.272,0.847,0.996,0.772,0,35,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.847356664184661,0.9962839093273876,0.7716732072779167,1
36,0.296,0.223,0.313,0.896,0.621,0.918,0,36,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8957557706626954,0.620958751393534,0.9179450588655012,1
40,0.305,0.071,0.234,0.929,0.0561,0.636,0,40,Not eroded,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0.9292628443782576,0.0561129691564474,0.6361041740991795,1
41,0.236,0.205,0.223,0.672,0.554,0.597,0,41,Not eroded,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0.6723752792256142,0.5540691192865105,0.5968605066000714,1
